yRC,xRC,Upper_Beam,Lower_Beam,Ride,Frame_Height,Frame_h_ground,y1,y2,xL,yL,xR,yR,Upper_arm_angle,Upper_arm_length,Lower_arm_angle,Lower_arm_length
13,0.8951737102110744,64.00781202322104
7.292800409212977,0,28,25,20,42,62,19,70,258.4764397905759,24.42931937172775,-258.4764397905759,24.42931937172775,7.471559176592376,61.5223536610881,0.8951737102110744,64.00781202322104
7.371013990724168,0,29,25,20,42,62,19,70,253.3776223776224,24.34965034965035,-253.3776223776224,24.34965034965035,7.594643368591445,60.53098380168623,0.8951737102110744,64.00781202322104
7.451739527880842,0,30,25,20,42,62,19,70,248.260945709282,24.26970227670753,-248.260945709282,24.26970227670753,7.721825800130975,59.53990258641679,0.8951737102110744,64.00781202322104
7.535100008942679,0,31,25,20,42,62,19,70,243.1263157894737,24.18947368421053,-243.1263157894737,24.18947368421053,7.853313301978219,58.54912467321779,0.8951737102110744,64.00781202322104
7.621226584241175,0,32,25,20,42,62,19,70,237.9736379613357,24.10896309314587,-237.9736379613357,24.10896309314587,7.989326766396897,57.55866572463264,0.8951737102110744,64.00781202322104
7.710259254694112,0,33,25,20,42,62,19,70,232.8028169014084,24.02816901408451,-232.8028169014084,24.02816901408451,8.130102354155978,56.5685424949238,0.8951737102110744,64.00781202322104
7.802347631211898,0,34,25,20,42,62,19,70,227.6137566137566,23.94708994708995,-227.6137566137566,23.94708994708995,8.2758928270752,55.57877292636101,0.8951737102110744,64.00781202322104
7.89765177366032,0,35,25,20,42,62,19,70,222.4063604240283,23.86572438162544,-222.4063604240283,23.86572438162544,8.426969021480673,54.58937625582472,0.8951737102110744,64.00781202322104
7.251624883936863,0,27,26,20,42,62,19,70,262.9540636042403,24.58657243816254,-262.9540636042403,24.58657243816254,7.352379359892359,62.51399843235113,0.9093804491991414,63.00793600809345
7.327406210008758,0,28,26,20,42,62,19,70,257.8902654867256,24.50619469026549,-257.8902654867256,24.50619469026549,7.471559176592376,61.5223536610881,0.9093804491991414,63.00793600809345
7.405582922824302,0,29,26,20,42,62,19,70,252.8085106382979,24.42553191489362,-252.8085106382979,24.42553191489362,7.594643368591445,60.53098380168623,0.9093804491991414,63.00793600809345
7.486270420576989,0,30,26,20,42,62,19,70,247.708703374778,24.34458259325044,-247.708703374778,24.34458259325044,7.721825800130975,59.53990258641679,0.9093804491991414,63.00793600809345
7.569591634873533,0,31,26,20,42,62,19,70,242.5907473309609,24.26334519572954,-242.5907473309609,24.26334519572954,7.853313301978219,58.54912467321779,0.9093804491991414,63.00793600809345
7.655677655677656,0,32,26,20,42,62,19,70,237.4545454545455,24.18181818181818,-237.4545454545455,24.18181818181818,7.989326766396897,57.55866572463264,0.9093804491991414,63.00793600809345
7.744668419515046,0,33,26,20,42,62,19,70,232.3,24.1,-232.3,24.1,8.130102354155978,56.5685424949238,0.9093804491991414,63.00793600809345
7.83671346853874,0,34,26,20,42,62,19,70,227.1270125223614,24.01788908765653,-227.1270125223614,24.01788908765653,8.2758928270752,55.57877292636101,0.9093804491991414,63.00793600809345
7.931972789115647,0,35,26,20,42,62,19,70,221.9354838709677,23.93548387096774,-221.9354838709677,23.93548387096774,8.426969021480673,54.58937625582472,0.9093804491991414,63.00793600809345
7.363121336989622,0,28,27,20,42,62,19,70,257.2872531418312,24.58527827648115,-257.2872531418312,24.58527827648115,7.471559176592376,61.5223536610881,0.9240453527727062,62.00806399170998
7.441260005163955,0,29,27,20,42,62,19,70,252.2230215827338,24.50359712230216,-252.2230215827338,24.50359712230216,7.594643368591445,60.53098380168623,0.9240453527727062,62.00806399170998
7.521908250215676,0,30,27,20,42,62,19,70,247.1405405405405,24.42162162162162,-247.1405405405405,24.42162162162162,7.721825800130975,59.53990258641679,0.9240453527727062,62.00806399170998
7.605188945290468,0,31,27,20,42,62,19,70,242.0397111913357,24.33935018050542,-242.0397111913357,24.33935018050542,7.853313301978219,58.54912467321779,0.9240453527727062,62.00806399170998
7.691233118057618,0,32,27,20,42,62,19,70,236.9204339963834,24.25678119349006,-236.9204339963834,24.25678119349006,7.989326766396897,57.55866572463264,0.9240453527727062,62.00806399170998
7.780180638595597,0,33,27,20,42,62,19,70,231.7826086956522,24.17391304347826,-231.7826086956522,24.17391304347826,8.130102354155978,56.5685424949238,0.9240453527727062,62.00806399170998
7.872180978105574,0,34,27,20,42,62,19,70,226.6261343012704,24.09074410163339,-226.6261343012704,24.09074410163339,8.2758928270752,55.57877292636101,0.9240453527727062,62.00806399170998
7.967394047109678,0,35,27,20,42,62,19,70,221.4509090909091,24.00727272727273,-221.4509090909091,24.00727272727273,8.426969021480673,54.58937625582472,0.9240453527727062,62.00806399170998
7.478099390416213,0,29,28,20,42,62,19,70,251.6204379562044,24.58394160583941,-251.6204379562044,24.58394160583941,7.594643368591445,60.53098380168623,0.9391909457355799,61.00819617067857
7.558707110482168,0,30,28,20,42,62,19,70,246.5557586837294,24.50091407678245,-246.5557586837294,24.50091407678245,7.721825800130975,59.53990258641679,0.9391909457355799,61.00819617067857
7.641945972986493,0,31,28,20,42,62,19,70,241.4725274725275,24.41758241758242,-241.4725274725275,24.41758241758242,7.853313301978219,58.54912467321779,0.9391909457355799,61.00819617067857
7.727946941283665,0,32,28,20,42,62,19,70,236.3706422018349,24.33394495412844,-236.3706422018349,24.33394495412844,7.989326766396897,57.55866572463264,0.9391909457355799,61.00819617067857
7.816849816849817,0,33,28,20,42,62,19,70,231.25,24.25,-231.25,24.25,8.130102354155978,56.5685424949238,0.9391909457355799,61.00819617067857
